Date,Open_T0,High_T0,Low_T0,Close_T0,AdjClose_T0,IncClose_T10,Increase,Volume_T0,Day,Month,Week,Open_S1,High_S1,Low_S1,Close_S1,AdjClose_S1,Volume_S1,Open_S2,High_S2,Low_S2,Close_S2,AdjClose_S2,Volume_S2,Open_S3,High_S3,Low_S3,Close_S3,AdjClose_S3,Volume_S3,Open_C1,High_C1,Low_C1,Close_C1,AdjClose_C1,Volume_C1,Open_C2,High_C2,Low_C2,Close_C2,AdjClose_C2,Volume_C2,Open_C3,High_C3,Low_C3,Close_C3,AdjClose_C3,Volume_C3
2017-01-02,374.854004,389.049988,370.519012,387.526001,364.22287,X,X,5854849,Mon,1,1,474.950012,488.5,469.200012,487.25,487.25,415721,328.950012,336.299988,325.5,333.950012,327.881042,656084,222.479004,225.959,222.479004,223.294006,197.628067,141881,162.800003,164.184998,161.009995,163.429993,153.414658,4621360,69.800003,70.800003,68.849998,70.349998,70.349998,4895204,49.5,50.799999,48.849998,50.5,49.707222,4182027
2017-01-03,387.811005,389.574005,382.286011,384.239014,361.133545,0.991518022,0,3504437,Tue,1,1,491,492.75,479.450012,481.25,481.25,823203,341,354.600006,339.149994,348.149994,341.822998,2773103,223.360001,224.945999,220.541,223.998993,198.252014,96871,164.100006,165.360001,163.100006,164.455002,154.376862,4530490,70.199997,71.449997,69.849998,70.400002,70.400002,4251904,51,52,50.549999,51.650002,50.839169,5086489
2017-01-04,385.001007,389.669006,382.428009,386.286987,363.05838,1.005329945,1,3509934,Wed,1,1,485,493.600006,484.600006,486.5,486.5,414780,350.399994,361.950012,349.200012,359.649994,353.114014,2371009,225.121994,228.360001,222.039001,222.567001,196.984619,515409,166.75,166.75,160.600006,163.050003,153.057953,2378943,70.699997,71.800003,70.199997,71.199997,71.199997,3841755,51.849998,51.849998,50.400002,50.549999,49.756435,4867877
2017-01-05,389.765015,402.531006,388.049988,399.481995,375.45993,1.034158562,1,7553272,Thu,1,1,496.100006,503.200012,495,501.950012,501.950012,539024,360.5,361.5,355.450012,358.049988,351.543091,1187872,223.800995,224.923996,222.104996,224.175003,198.407791,48841,164.050003,176.649994,163.5,175.649994,164.885788,6510132,72.300003,76.449997,71.5,75.5,75.5,11807159,51.299999,52.200001,51.099998,51.950001,51.134457,5663048
2017-01-06,400.626007,405.294006,395.957001,399.721008,375.68457,1.000598307,1,4343360,Fri,1,1,506,507.850006,496.399994,497.799988,497.799988,451099,359,363,352.600006,355.200012,348.744904,1089982,224.682007,226.466003,222.742996,223.492004,197.803299,508200,177.350006,178.800003,172.75,175.199997,164.463364,5500626,75.900002,77.199997,73.199997,73.550003,73.550003,12215743,52.099998,52.599998,51.799999,52,51.183674,4097516
2017-01-09,403.674011,404.151001,399.529999,402.054993,377.878204,1.005839035,1,3277683,Mon,1,2,500.100006,504.450012,492.549988,500.350006,500.350006,391675,355.950012,357.350006,351.600006,354.600006,348.155792,388058,223.800995,226.664001,222.654999,225.826996,199.869904,281406,176.5,179.300003,174.600006,176.050003,165.261276,2997673,74.150002,74.599998,73,74.25,74.25,3467157,52.25,52.900002,52,52.349998,51.528175,2638243
2017-01-10,402.721985,412.05899,402.626007,411.487,386.743011,1.023459495,1,5372487,Tue,1,2,505.700012,516.549988,505.100006,515.299988,515.299988,767765,355.25,363.450012,354,361.450012,354.881287,680201,226.884995,227.766006,223.625,224.638,198.817581,621835,176.5,179.5,173.600006,178.449997,167.514206,3701710,74.599998,75.5,74,74.800003,74.800003,4120512,52.400002,53.150002,52.400002,52.849998,52.020329,2774198
2017-01-11,414.726013,429.636993,414.106995,427.063995,401.383362,1.037855376,1,11998331,Wed,1,2,518.200012,525,517.299988,518.900024,518.900024,375665,363.5,365.450012,359.100006,360.75,354.194031,1059399,225.716995,229.087006,224.020996,228.184006,201.955994,151278,179.300003,195.399994,179,187.550003,176.056549,19588062,75.199997,85.699997,74.800003,81.949997,81.949997,39447565,53.150002,56.549999,53.150002,55.950001,55.071663,16932115
2017-01-12,427.778992,429.826996,422.300995,426.397003,400.75647,0.9984381919,0,5627446,Thu,1,2,519.049988,524,513.25,518.349976,518.349976,378656,360.950012,365.799988,359.5,363.700012,357.090424,1138752,228.117996,228.977005,226.003998,226.951004,200.864716,62916,188.25,190.699997,184.199997,188.5,176.948303,6001012,81.800003,82.5,78.75,80.650002,80.650002,14493302,56.299999,58.200001,54.799999,57.25,56.351254,11639527
2017-01-13,428.730988,429.113007,420.346985,425.253998,399.68219,0.9973193878,0,4442100,Fri,1,2,520.099976,523.5,507.399994,514.650024,514.650024,393121,363.350006,366.450012,355,358.350006,351.837646,701469,228.205994,230.938004,226.531998,227.919998,201.722336,106825,189.5,191.100006,185.100006,188.899994,177.323807,5494453,80.699997,81.449997,77.5,78.449997,78.449997,10195083,57.5,58.299999,56.549999,57.599998,56.695759,7976349
